Avg,BMI,BMI Rating,HR,Handedness,Height,Name,Ratio,Weight
0.263,19.7879527116,Healthy,61,Right,73,Manny Trillo,2.31939163498,150
0.247,25.0337837838,Overweight,72,Both,74,Mike Young,2.91497975709,195
0.246,23.0859448302,Healthy,112,Right,73,Chris Speier,4.55284552846,175
0.261,22.4263464065,Healthy,176,Right,73,Don Money,6.74329501916,170
0.264,25.6756756757,Overweight,179,Right,74,Joe Rudi,6.7803030303,200
0.298,25.6756756757,Overweight,382,Right,74,Jim Rice,12.8187919463,200
0.238,27.1940091252,Overweight,85,Left,71,Ed Kirkpatrick,3.57142857143,195
0.22,23.0859448302,Healthy,62,Left,73,Ellie Hendricks,2.81818181818,175
0.257,20.9184685578,Healthy,118,Right,71,Leo Cardenas,4.59143968872,150
0.253,22.162507037,Healthy,68,Left,73,Art Shamsky,2.68774703557,168
0.261,26.5418367347,Overweight,316,Right,70,Ron Cey,12.1072796935,185
0.255,25.0647401013,Overweight,65,Both,73,Butch Wynegar,2.54901960784,190
0.288,27.1219135802,Overweight,59,Right,72,Ron LeFlore,2.04861111111,200
0.241,25.7658179012,Overweight,201,Right,72,Gene Tenace,8.34024896266,190
0.262,25.3704888889,Overweight,200,Right,75,Bill Freehan,7.63358778626,203
0.246,24.4051416776,Healthy,166,Left,73,Dwayne Murphy,6.74796747967,185
0.244,28.7448888889,Overweight,130,Left,75,Mike Epstein,5.32786885246,230
0.289,23.75,Healthy,70,Both,74,Jerry Mumphrey,2.42214532872,185
0.255,24.3706666667,Healthy,68,Right,75,Mike Shannon,2.66666666667,195
0.261,24.3421052632,Healthy,208,Left,76,Jason Thompson,7.969348659,200
0.243,26.4438657407,Overweight,95,Left,72,Mike Jorgensen,3.90946502058,195
0.298,21.1824324324,Healthy,241,Left,74,Cecil Cooper,8.08724832215,165
0.24,25.6756756757,Overweight,122,Right,74,Joe Ferguson,5.08333333333,200
0.265,25.5592105263,Overweight,62,Left,76,Dave Revering,2.33962264151,210
0.295,27.2575231481,Overweight,184,Right,72,Bob Watson,6.23728813559,201
0.239,24.3918918919,Healthy,131,Right,74,Ken Harrelson,5.48117154812,190
0.263,24.3897959184,Healthy,86,Right,70,Ed Charles,3.26996197719,170
0.264,23.1208888889,Healthy,166,Right,75,Tony Conigliaro,6.28787878788,185
0.26,25.1071428571,Overweight,109,Right,70,Phil Garner,4.19230769231,175
